job_title,company,job_location,job_summary,today,job_salary,extracted_skills,yearly_salary
"software engineering intern, winter 2023",Google,"Bengaluru, Karnataka","Experience working with some of the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel…",2022-07-26,Not Disclosed,[],
cloud engineer (remote),Julia Computing,"Bengaluru, Karnataka","Julia Computing was founded in 2015 by the creators of the Julia programming language for artificial intelligence, machine learning, analytics, data science,…",2022-07-26,"₹15,00,000 - ₹40,00,000 a year",['machine learning'],2750000.0
machine learning engineer,DTN,Remote,"Architect and execute prototype machine learning model deployments.,Experience with machine learning operations (model management, deployment, monitoring).",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer and big data engineer,Infimetrics Info Solutions Pvt. Ltd.,"Bengaluru, Karnataka","Eligibility: M: Tech/BE/MCA with good knowledge of C, C++, Java Python and Data Science.,( Technology in this technology will be added advantage).",2022-07-26,Not Disclosed,['python'],
associate data scientist i,UST Global,"Bengaluru, Karnataka+1 location",Apply machine learning techniques like clustering decision tree learning artificial neural networks etc. to streamline data analysis.,2022-07-26,Not Disclosed,"['machine learning', 'data analysis']",
machine learning developer,Tech Opportunity,"Andheri, Mumbai, Maharashtra","Machine learning: 2 years (Preferred).,We have an urgent opening for Machine learning Developer for Andheri East Location.",2022-07-26,"₹2,50,000 - ₹6,50,000 a month",['machine learning'],5400000.0
machine learning engineer,Quantiphi,"Mumbai, Maharashtra","Developing high-level solution architectures and working with our offshore team of big-data engineers and decision science analysts to build, test, and assess…",2022-07-26,Not Disclosed,[],
python machine learning/ai engineer,Mobotics,"Delhi, Delhi","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Familiarity with machine learning frameworks (like…",2022-07-26,Not Disclosed,['machine learning'],
data analyst,Maersk,"Chennai, Tamil Nadu","Analyze data and develop machine learning models to support decision making in the business.,Data exploration, analysis, synthesis, and presentation.",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,Ideapoke,"Bengaluru, Karnataka","We are looking for an expert in machine learning to help us extract value from our data.,Proficiency with Python and basic libraries for machine learning such…",2022-07-26,Not Disclosed,"['python', 'machine learning']",
data analyst,Honeywell,"Bengaluru, Karnataka","Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data…",2022-07-26,Not Disclosed,['big data'],
machine learning engineer,ServiceNow,"Temporarily Hyderabad, Telangana","At ServiceNow, our technology makes the world work for everyone, and our people make it possible.,We move fast because the world can’t wait, and we innovate in…",2022-07-26,Not Disclosed,[],
machine learning intern,Hacklab Solutions Private Limited,"Bengaluru, Karnataka","Work on cutting-edge problems around edge AI and implementing machine learning algorithms on embedded devices.,Job Types: Full-time, Internship.",2022-07-26,"₹12,086 a month",['machine learning'],145032.0
machine learning engineer,PeopleGrove,Remote,"Working knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.).",2022-07-26,Not Disclosed,['machine learning'],
data scientist,Lincode Labs,"Bengaluru, Karnataka","Exposure to model compression and pruning in deep learning.,Excellent knowledge on any/all of the given concepts in Computer Vision - namely Image…",2022-07-26,"₹40,000 - ₹1,20,000 a month",['deep learning'],960000.0
– machine learning engineer,Sourcedesk Global,"Kolkata, West Bengal","We are looking for a highly capable machine learning engineer to optimize our machine learning systems.,Keeping abreast of developments in machine learning.",2022-07-26,"₹6,00,000 - ₹21,60,000 a year",['machine learning'],1380000.0
machine learning engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Develop RESTful APIs to serve machine learning models in production and strong debugging skills.,Job Description and desired Skills for ML Engineer.",2022-07-26,Not Disclosed,['machine learning'],
associate machine learning scientist,Wadhwani Institute for Artificial Intelligence,"New Delhi, Delhi","Track record of project work in applied machine learning.,As an Associate ML Scientist, you will be responsible for building robust machine learning solutions…",2022-07-26,"₹15,00,000 - ₹20,00,000 a year",['machine learning'],1750000.0
computer vision research/ platform engineer - machine learni...,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.",2022-07-26,Not Disclosed,['machine learning'],
– machine learning engineer,Sourcedesk Global,"Kolkata, West Bengal","Keeping abreast of developments in machine learning.,Consulting with managers to determine and refine machine learning objectives.",2022-07-26,"₹6,00,000 - ₹21,60,000 a year",['machine learning'],1380000.0
machine learning engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Develop RESTful APIs to serve machine learning models in production and strong debugging skills.,Enthusiastic self-starter with 4-6+ years industry experience…",2022-07-26,Not Disclosed,['machine learning'],
associate machine learning scientist,Wadhwani Institute for Artificial Intelligence,"New Delhi, Delhi","Track record of project work in applied machine learning.,As an Associate ML Scientist, you will be responsible for building robust machine learning solutions…",2022-07-26,"₹15,00,000 - ₹20,00,000 a year",['machine learning'],1750000.0
computer vision research/ platform engineer - machine learni...,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,MetaMap,"Bengaluru, Karnataka","Ability to train machine learning models, monitor metrics, and set up proper benchmarks.,Train machine learning models, compute metrics, monitor these models…",2022-07-26,Not Disclosed,['machine learning'],
( pyspark ) data scientist,EY,"Bengaluru, Karnataka","Excellent knowledge in statistical techniques and advanced machine learning algorithms - regression, classification, clustering, time series, decision trees,…",2022-07-26,"₹15,00,000 - ₹35,89,623 a year",['machine learning'],2544811.5
machine learning engineer,Alphanet Solution,"Bengaluru, Karnataka","Basic understanding of data analytics and/or machine learning algorithms (e.g., neural networks, tree-based methods, unsupervised learning, etc) and statistics.",2022-07-26,Not Disclosed,"['machine learning', 'statistics']",
data science,Gex Search,"Hyderabad, Telangana","Implement machine learning frameworks for automatically retraining models, generating accuracy.,Analyse deep learning networks and framework implementations to…",2022-07-26,"₹20,00,000 - ₹22,00,000 a year","['machine learning', 'deep learning']",2100000.0
freelance content writer,Badatya Private Limited,"New Delhi, Delhi","Creating content for the company's websites.,Researching ideas and facts pertinent to the topic assigned.,Writing fresh content for social media pages.",2022-07-26,"₹1,000 an hour",[],
admin manager,Climate Connect,"Delhi, Delhi","As an Admin Manager, you will ensure all support activities run efficiently and effectively to allow the other departments to function smoothly.",2022-07-26,Not Disclosed,[],
operation analyst,Financial Fabric,"Kolkata, West Bengal","It combines traditional big data and machine learning technologies to solve different classes of data and analytical problems.,MS-Excel, MS-Word, Outlook.",2022-07-26,"₹12,000 - ₹15,000 a month","['excel', 'machine learning', 'big data']",162000.0
java developer,Recrosoft Technologies,"Bengaluru, Karnataka","2.Write well designed, testable, efficient code.,3.Ensure designs are in compliance with specifications.,4.Prepare and produce releases of software components.",2022-07-26,"₹6,60,027 - ₹25,16,037 a year",[],1588032.0
machine learning engineer,Hitachi Vantara Corporation,"Pune, Maharashtra","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Study and transform data science prototypes.",2022-07-26,Not Disclosed,['machine learning'],
machine learning-consultant,Wipro Limited,"Bengaluru, Karnataka","You should be able to build a custom Function Module with medium complexity program logic.,Minimum work experience: 5 - 8 YEARS.",2022-07-26,Not Disclosed,[],
machine learning engineer,3loq,"Hyderabad, Telangana","0-2 years of machine learning experience.,Machine learning, Data analysis, Statistics & Probability.,Checking data from every stage and every base for assigned…",2022-07-26,Not Disclosed,"['machine learning', 'statistics', 'data analysis']",
kyc system analyst,Brickendon Consulting,"Hyderabad, Telangana","Focused on three practice areas of digital, data and automation, our aim is to disrupt the market with the latest machine learning, automation, data analytics…",2022-07-26,Not Disclosed,['machine learning'],
data science/data analytics,Intrics Solutions Pvt Ltd,"Noida, Uttar Pradesh","Hands-on experience in technologies and tools related to NLP, Deep learning and Machine learning.,Responsible for designs and development of enterprise-wide…",2022-07-26,"₹4,00,000 - ₹8,00,000 a year","['machine learning', 'deep learning', 'nlp']",600000.0
data analyst 2-8,PayPal,"Bengaluru, Karnataka+1 location","For example, using machine learning to determine how we identify fraud.,And you will do it all by collaborating with a global team of colleagues across sales,…",2022-07-26,Not Disclosed,['machine learning'],
machine learning,Angel's Virtual World,"Mayapuri Shopping Centre, Delhi","Designing and developing machine learning and deep learning systems.,Designing machine learning systems.,Running machine learning tests and experiments.",2022-07-26,Not Disclosed,"['machine learning', 'deep learning']",
machine learning engineer,Hitachi,"Pune, Maharashtra","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Hitachi Vantara elevates your innovation advantage…",2022-07-26,Not Disclosed,['machine learning'],
data science/data analytics,Excellence and Eminence LLP,"Bengaluru, Karnataka","Developing prediction systems and machine learning algorithms.,Using machine learning tools to select features, create and optimize classifiers.",2022-07-26,"₹18,00,000 - ₹25,00,000 a year",['machine learning'],2150000.0
senior machine learning scientist,Microsoft,"Bengaluru, Karnataka",Strong knowledge and skills in machine learning software development and architectures for machine learning (with focus on deep learning).,2022-07-26,Not Disclosed,"['machine learning', 'deep learning']",
computer vision research engineer - machine learning,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.",2022-07-26,Not Disclosed,['machine learning'],
machine learning (ml) research engineer,Robert Bosch,"Bengaluru, Karnataka","Ability to identify, understand and implement relevant research findings from technical publications.,Design, implementation, and deployment of technical…",2022-07-26,Not Disclosed,[],
machine learning engineer 2,Adobe,"Bengaluru, Karnataka","Changing the world through digital experiences is what Adobe’s all about.,We give everyone—from emerging artists to global brands—everything they need to design…",2022-07-26,Not Disclosed,[],
data annotator,Ezeiatech Systems Pvt Ltd,"Gurgaon, Haryana",Work with a team of Machine Learning Engineers and the Data Scientists to ensure the building and delivering high quality datasets for machine training.,2022-07-26,"₹15,000 a month",['machine learning'],180000.0
ml engineer,Enterpret,"Bengaluru, Karnataka","Build & test deep learning models in the areas of few shot learning, text generation, semantic search, ABSA.,We are solving complex problems in natural language…",2022-07-26,Not Disclosed,['deep learning'],
"analyst, risk analytics (ppnr/machine learning)",Northern Trust Corp.,"Bengaluru, Karnataka","Develops understanding of time series analysis and AI/ML algorithms used in supervised and unsupervised learning.,Gender Equality Index Member, Bloomberg.",2022-07-26,Not Disclosed,[],
automation engineer,Paras Defence & Space Technologies,"Navi Mumbai, Maharashtra+1 location","Experience with robotics, AI and machine learning.,Qualification : Bachelor / Master of Engineering – Electronics/Electrical.",2022-07-26,"₹12,00,000 - ₹18,00,000 a year",['machine learning'],1500000.0
cloud operations engineer i,EagleView Technologies,"Bengaluru, Karnataka","In cooperation with software engineers, machine learning teams, and finance, you will use a scientific methodology to identify programmatic solutions to achieve…",2022-07-26,Not Disclosed,['machine learning'],
machine learning-python,Quant AIs,"New Delhi, Delhi","At least two years' experience as a machine learning engineer.,We use our expertise with the Cloud platforms like Microsoft Azure, along with modern data…",2022-07-26,Not Disclosed,"['machine learning', 'azure']",
associate ii - data analysis,UST Global,"Thiruvananthapuram, Kerala","As our Applied Machine Learning Engineer, you will collaborate with other data scientists, as well as members of platform engineering team in order to execute…",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,Jumio Corporation,Remote,"Build scalable machine learning models, algorithms, and analytics on large financial datasets (both fiat currency and cryptocurrency) to detect suspicious…",2022-07-26,Not Disclosed,['machine learning'],
scientist (bioinformatics and computational biology),Aganitha AI,"Hyderabad, Telangana","Understand and analyze disease studies, especially the ones associated with genomic disorders.,Understand and model biotech processes such as the ones used in…",2022-07-26,Not Disclosed,[],
data scientist,JMS ADVISORY SERVICES PVT.LTD,"Pune, Maharashtra","Machine learning: 5 years (Preferred).,Explore and investigate the Open Source tools and various data models in cyber security.",2022-07-26,"₹10,00,000 - ₹30,00,000 a year",['machine learning'],2000000.0
machine learning engineer (remote),HackerRank,"Temporarily Bengaluru, Karnataka","Help set the strategy for machine learning at HackerRank, identifying new opportunities for machine learning to improve HackerRank products.",2022-07-26,Not Disclosed,['machine learning'],
"director/vp, machine learning",Leena AI India Pvt Ltd,"Bengaluru, Karnataka","Deep technical background in applied machine learning, including deep learning, computer vision, natural language processing, and data engineering.",2022-07-26,Not Disclosed,"['machine learning', 'deep learning']",
machine learning engineer,indiagold,"Gurgaon, Haryana",Machine learning: You will work on building ML models and increase prediction accuracy in our loan origination platform.,2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer - deloitte ai center of excellence...,Deloitte,"Bengaluru, Karnataka",We are looking for talented Machine Learning Engineers with experience in software engineering and applying machine learning to solve complex problems.,2022-07-26,Not Disclosed,['machine learning'],
data scientist,C2FO ITPL,"Noida, Uttar Pradesh","Knowledgeable of relevant literature around applications for machine learning and deep learning.,Experience with machine learning tools such as scikit-learn,…",2022-07-26,Not Disclosed,"['machine learning', 'deep learning', 'scikit-learn']",
machine learning developer,Cybage,"Pune, Maharashtra","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Should be able to Study and transform data science…",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,Vitrana,"Bengaluru, Karnataka","Run machine learning tests and experiments.,Familiarity with machine learning frameworks (like Keras or TensorFlow) and libraries (like scikit-learn).",2022-07-26,Not Disclosed,"['machine learning', 'tensorflow', 'scikit-learn']",
data science,Globussoft Technologies,"Bengaluru, Karnataka","Selecting features, building and optimizing classifiers using machine learning techniques.,Data mining using state-of-the-art methods.",2022-07-26,"₹3,60,000 a year",['machine learning'],360000.0
machine learning engineer/data scientist,Innowise,Remote,"High personal affinity to IT topics, namely data science, machine learning and / or artificial intelligence.,They must have strong experience using a variety of…",2022-07-26,Not Disclosed,['machine learning'],
data analyst,Creditas Solutions,"Gurgaon, Haryana","Solutions to the top Financial Institutions in India.,Our growing technology firm is looking for an experienced Data Analyst who is able to turn project.",2022-07-26,Not Disclosed,[],
data scientist,MARJ TECHNOLOGIES,"Noida, Uttar Pradesh","Develop and implement artificial intelligence and machine learning models to solve complex data problems.,Drive the development of AI/ML solutions.",2022-07-26,"₹4,03,237 - ₹8,50,000 a year",['machine learning'],626618.5
data scientist,Danske Bank,"Bengaluru, Karnataka","Experience working with statistical and machine learning models.,Work with other data scientist to do peer review of existing or new machine learning models or…",2022-07-26,Not Disclosed,['machine learning'],
data science and machine learning trainer,Merida Tech Minds,"Bengaluru, Karnataka","We are looking for Experienced datascience and machinelearning trainer with strong knoweledge in Data science domain .,Job Types: Full-time, Part-time.",2022-07-26,"₹20,000 - ₹40,000 a month",[],360000.0
machine learning engineer,DeepEdge,"Hyderabad, Telangana",Machine Learning engineers with 1-3 years of industry experience.,2022-07-26,Not Disclosed,['machine learning'],
"manager, customer experience quality, gcare operations and p...",Google,"Hyderabad, Telangana","Ability to transform design thinking by leveraging machine learning and automation practices.,Drive automation perspective or machine learning as relevant to…",2022-07-26,Not Disclosed,['machine learning'],
data scientist,Barclays,"Delhi, Delhi","PhD using statistics or machine learning.,Designs and delivers statistical and machine learning models into production, engaging with stakeholders to create…",2022-07-26,Not Disclosed,"['machine learning', 'statistics']",
machine learning,Think Future Technologies,"Gurgaon, Haryana","2+ years’ of relevant professional experience.,Ability to translate complex problems and concepts in training.",2022-07-26,Not Disclosed,[],
data scientist,OneBanc Technologies,"Gurgaon, Haryana","Research and develop statistical learning models for data analysis.,Experience creating and using advanced machine learning algorithms and statistics:…",2022-07-26,Not Disclosed,"['machine learning', 'statistics', 'data analysis']",
data engineer,Meridian soft,"Bengaluru, Karnataka","Strong skills in Python, SQL (RDMS).,Strong analytical and problem-solving skills.,Strong in data science python libraries like NumPy, Pandas.",2022-07-26,"₹5,81,495 - ₹19,30,614 a year","['python', 'sql', 'pandas', 'numpy']",1256054.5
machine learning intern - (final year),cloudsek,"Bengaluru, Karnataka",Receiving multiple awards including the prestigious Excellence Award for being the Security Product Company of the Year in 2020.,2022-07-26,Not Disclosed,[],
software quality senior engineer,Dell Technologies,"Bengaluru, Karnataka+1 location","We conduct a wide range of quality control tests and analyses to ensure that our software meets or exceeds end-user requirements.,Bachelor's or Master's Degree.",2022-07-26,Not Disclosed,[],
data science and machine learning consultant,Quess Corp,"Hyderabad, Telangana","_SQL, Python, Machine Learning, Natural Language Processing, Data Visualization, Databases_.,Hyderabad, Rangareddy - 500075, Telangana: Reliably commute or…",2022-07-26,"₹3,80,176 - ₹15,06,122 a year","['python', 'machine learning', 'data visualization']",943149.0
software quality senior engineer,Dell Technologies,"Bengaluru, Karnataka+1 location","We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the…",2022-07-26,Not Disclosed,['machine learning'],
business analyst,TGS the global skills,"Gurgaon, Haryana","Gather and analyse data and provide technology solutions with a systems approach.,Interpreting business requirements into understandable development tasks to…",2022-07-26,"₹12,00,000 a year",[],1200000.0
data science and machine learning consultant,Quess Corp,"Hyderabad, Telangana","_SQL, Python, Machine Learning, Natural Language Processing, Data Visualization, Databases_.,Salary: ₹380,176.40 - ₹1,506,122.20 per year.",2022-07-26,"₹3,80,176 - ₹15,06,122 a year","['python', 'machine learning', 'data visualization']",943149.0
intern - business analyst,Climate Connect,Remote,"We believe that machine learning and other software technologies will be key in enabling this vision.,Our multi-layered support system, comprising a global…",2022-07-26,Not Disclosed,['machine learning'],
manager - data analyst,Maruti Suzuki India Ltd,"Gurgaon, Haryana","Knowledge of machine learning, deep network.,Story telling with the help of data.,Explore data and generate insights such as patterns, seasonality, trend, cause…",2022-07-26,Not Disclosed,['machine learning'],
r&d member of technical staff ii,Aveva,India,"Understanding of Machine learning life cycle.,Vacancy Name R&D Member of Technical Staff II , Product Test.,AVEVA Employment Type Full Time Permanent.",2022-07-26,Not Disclosed,"['machine learning', 'r']",
microsoft azure machine learning application developer,Accenture,"Mumbai, Maharashtra","Technical Experience : Strong conceptual knowledge and working experience on all features of Azure ML Studio, ML Services and ML Ops Aware of Machine Learning…",2022-07-26,Not Disclosed,"['machine learning', 'azure']",
machine learning engineer ii,"Neustar, Inc.","Bengaluru, Karnataka","At Neustar, you have the power to be your authentic self, to be curious, to run with your idea, and to celebrate a good day.,We invite you to join us.",2022-07-26,Not Disclosed,[],
office administrator,Wood Mackenzie,"Delhi, Delhi","Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records.",2022-07-26,Not Disclosed,['machine learning'],
data analyst,Serendipity corporate services,"Hyderabad, Telangana","Hands-on expertise in predictive modeling, machine learning, and other advanced analytical techniques.,Key skills: Marketing Analytics, Risk Analytics, SAS,…",2022-07-26,"₹20,00,000 - ₹25,00,000 a year",['machine learning'],2250000.0
data annotator,Objectways,"Karur, Tamil Nadu","Our focus is to human in-loop capabilities to bring machine learning processes closer to human input.,This position is critical to the success of our customers,…",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,MedTourEasy,"Delhi, Delhi","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Machine Learning Engineer responsibilities include…",2022-07-26,"₹7,15,000 - ₹7,95,000 a year",['machine learning'],755000.0
sr software engineer,WELLS FARGO BANK,"Bengaluru, Karnataka+1 location","Wells Fargo is seeking a Senior Software Engineer...,In this role, you will:,Lead moderately complex initiatives and deliverables within technical domain…",2022-07-26,Not Disclosed,[],
software engineer – python,Crowe,"Noida, Uttar Pradesh","We believe machine learning is software.,Develop libraries and services to address common requirements for our machine learning products.",2022-07-26,Not Disclosed,['machine learning'],
data engineer,HRhelpdesk,"Noida, Uttar Pradesh","The Client's digital manufacturing platform, uses artificial intelligence, machine learning, and advanced analytics to help address critical challenges in…",2022-07-26,"₹5,00,000 - ₹10,00,000 a year",['machine learning'],750000.0
ml engineer,EY,"Bengaluru, Karnataka","Should have experience of 2-3 production implementation of machine learning projects.,Processing, search, information retrieval, information extraction,…",2022-07-26,Not Disclosed,['machine learning'],
data science & analytics,Samsung Electronics,"Bengaluru, Karnataka",[Data modelling] Explore and design suitable machine learning model or deep learning algorithm or statistical model to solve business challenges.,2022-07-26,Not Disclosed,"['machine learning', 'deep learning']",
strategy officer,Bosch Group,"Bengaluru, Karnataka","Portfolio management, evolving go to market strategy execution, business model evolution, business development including strategic alliances, channel partners …",2022-07-26,Not Disclosed,[],
data scientist,Accubits Technologies,India,"Good understanding of machine learning algorithms.,Mine and analyze data from various sources to drive optimization and improvement of product development.",2022-07-26,Not Disclosed,['machine learning'],
us citizens only - machine learning engineer,Codvo.ai,Remote,"Exposure to scalable machine learning model deployment and MLops.,Experience with machine learning frameworks (e.g. PyTorch, TensorFlow, Scikit-learn, Spacy,…",2022-07-26,Not Disclosed,"['machine learning', 'tensorflow', 'pytorch', 'scikit-learn']",
data analyst,Ericsson,"Noida, Uttar Pradesh","We are looking for a Data Analyst who will design, develop and maintain high quality Tableau Dashboards.,We organize in cross functional design teams in which…",2022-07-26,Not Disclosed,['tableau'],
data engineer,Recbots,"Bengaluru, Karnataka","Strong understanding of statistics fundamentals, machine learning algorithms such as regression, classification, clustering, recommendation, anomaly detection,…",2022-07-26,"₹5,80,159 - ₹19,24,226 a year","['machine learning', 'statistics']",1252192.5
pqa - product quality assure,Volvo Group,"Bengaluru, Karnataka","Product Quality Assurer (PQA) is appointed to a project.,In some cases we also appoint a local PQA for a detailed technical area supporting a main project PQA.",2022-07-26,Not Disclosed,[],
java developer,Recro,"Bengaluru, Karnataka","2.Write well designed, testable, efficient code.,3.Ensure designs are in compliance with specifications.,4.Prepare and produce releases of software components.",2022-07-26,"₹7,00,000 - ₹15,00,000 a year",[],1100000.0
machine learning validation engineer (169430),"Advanced Micro Devices, Inc.","Bengaluru, Karnataka+1 location","You will contribute to the core team that validates the tests for AMD GPU based compute software stack.,You will be responsible for maintaining the ROCm stack…",2022-07-26,Not Disclosed,[],
data scientist,BEIING,"Delhi, Delhi","We work with financial institutions, Banks, NBFCs & Digital lending firms to improve their collections efficiency using technology, automation intelligence and…",2022-07-26,"₹50,00,000 - ₹60,00,000 a year",[],5500000.0
affine returnship program,Affine,India,"To be an eligible candidate entitled to a monthly stipend, all you need is at least a year of relevant work experience.,Expert in Excel and/or VBA.",2022-07-26,Not Disclosed,['excel'],
senior machine learning scientist,Algonomy,"Bengaluru, Karnataka","2+ years professional experience implementing machine learning algorithms.,Identifying and solving machine learning problems involving Bayesian optimization,…",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer - quantumblack,McKinsey & Company,"Bengaluru, Karnataka","Professional knowledge of machine learning environments such as regression, decision trees, random forest or deep learning.,Strong coding skills in Python.",2022-07-26,Not Disclosed,"['python', 'machine learning', 'deep learning']",
data scientist,Serendipity corporate services,"Bengaluru, Karnataka+1 location","Machine learning: 3 years (Preferred).,Machine Learning – Good knowledge on machine learning methods like Decision tree, XGBoost, LightGBM etc., and hands-on…",2022-07-26,"₹10,00,000 - ₹25,00,000 a year",['machine learning'],1750000.0
ml engineer - permanent remote,Alpha Net Technologies Pvt Ltd,"Hyderabad, Telangana+1 location","Basic understanding of *data analytics* and/or *machine learning algorithms* (e.g., neural networks, tree-based methods, unsupervised learning, etc) and…",2022-07-26,"₹8,00,000 a year",['machine learning'],800000.0
machine learning lead,tiket.com,India,"And process optimization and using models to test the effectiveness of different.,They must have strong experience using a variety of data.",2022-07-26,Not Disclosed,[],
machine learning engineer ( 3 to 5 yrs),IceCream Labs,"Bengaluru, Karnataka","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Familiarity with machine learning frameworks (like…",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,Multirecruit,"Bengaluru, Karnataka",A good understanding of machine learning techniques and demonstrable experience applying them to solve problems using machine learning libraries such as scikit…,2022-07-26,"₹25,00,000 - ₹40,00,000 a year",['machine learning'],3250000.0
ml & data scientist,Fortinet,"Bengaluru, Karnataka","Research & develop Machine Learning models for FortiAIOps, in the areas of Application, Networking and Data Analytics.",2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,Walmart Global Tech India,"Bengaluru, Karnataka","Demand Forecasting is a core function of supply chain driving replenishment, sourcing, capacity and transportation plans.",2022-07-26,Not Disclosed,[],
machine learning (data scientist) - 2 positions,itechnolabs india pvt ltd,"Mohali, Punjab","Developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship.",2022-07-26,"₹60,000 a year",['machine learning'],60000.0
customer service representative,Freshplate Pvt Ltd,"Bengaluru, Karnataka","Responsible to take the ownership of the resolution process for all the customer issues.,To build a strong relationship with customers and resolve the queries…",2022-07-26,"₹20,000 a month",[],240000.0
data scientist,Aganitha AI,"Hyderabad, Telangana","Deep learning and classical ML methods.,Modular, typed and object-oriented Python programming.",2022-07-26,Not Disclosed,"['python', 'deep learning']",
software product engineer,WadhwaniAI,"Delhi, Delhi","As a software engineer, you will be responsible for building machine learning-based solutions to problems of societal importance.",2022-07-26,"₹12,00,000 - ₹17,00,000 a year",['machine learning'],1450000.0
python/django developer,VuNet Systems,"Bengaluru, Karnataka","At VuNet, we are building next-generation products that use a full-stack product with big data and machine learning in innovative ways to monitor customer…",2022-07-26,"₹7,00,000 - ₹15,00,000 a year","['machine learning', 'big data']",1100000.0
machine learning engineer,Masters India Private Limited,"Noida, Uttar Pradesh","Maintained/contributed machine learning projects, familiar with the agile software.,Domains: computer vision, NLP, reinforcement learning, model optimization…",2022-07-26,Not Disclosed,"['machine learning', 'nlp']",
technical business analyst,Vv Consultancy,"Bengaluru, Karnataka","A bit of machine learning, such as regression analysis, and time series modeling.,Define and document source to target data interfaces.",2022-07-26,"₹40,000 a month",['machine learning'],480000.0
